WinDefensePlayed1,WinPlayedMatchday1,WinAttackPlayed2,WinPlayedMatchday2,WinDefensePlayed3,WinPlayedMatchday3,WinAttackPlayed4,WinPlayedMatchday4,ELOAttackDefenseDifference,ELODefenseAttackDifference,WinsLocal,WinsVisitant
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.940343781597562,14.059656218402438,0.5470085470085471,0.32075471698113206
1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,27.152671601769725,2.873616297429521,0.5319148936170213,0.6
0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,11.800161684903742,-31.537764078672126,0.40625,0.7047619047619048
0.3333333333333333,0.25,0.0,0.25,0.5,0.5,1.0,1.0,-10.592393949051598,-46.46020691951128,0.32075471698113206,0.5470085470085471
0.5,0.4,1.0,1.0,0.3333333333333333,0.2,0.3333333333333333,0.4,54.096056039418045,-1.9079674611643895,0.7047619047619048,0.40625
0.4,0.3333333333333333,0.25,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,-14.012716234023173,-64.26826991240034,0.6,0.5319148936170213
0.5,1.0,1.0,1.0,0.0,0.0,0.2,0.0,62.24629606875453,8.439802007447497,0.7047619047619048,0.6190476190476191
0.5,0.5,0.0,0.0,0.5714285714285714,1.0,0.3333333333333333,0.5,-1.7854901791891962,13.225255146938139,0.7272727272727273,0.6
0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,16.05759799933287,14.413983463641557,0.5470085470085471,0.6176470588235294
0.5,0.5,0.0,0.5,0.5,0.25,0.5,0.75,-14.210541987344868,-4.639656262980338,0.7047619047619048,0.6190476190476191
1.0,1.0,1.0,1.0,0.4,0.0,0.4444444444444444,0.0,16.92971698185363,8.366976998179325,0.875,0.5470085470085471
0.0,0.0,0.0,0.0,0.5555555555555556,1.0,1.0,1.0,-30.478020421478845,-15.426818160021071,0.0,0.5714285714285714
0.0,0.0,0.0,0.5,0.6,1.0,1.0,1.0,-15.834505799795124,-17.41017040854672,0.59375,0.5714285714285714
0.6666666666666666,0.5,1.0,0.5,0.4,0.0,0.0,0.0,69.71272102107264,-1.7167010595787815,0.5470085470085471,0.0
0.5,0.3333333333333333,0.875,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,68.34197963979022,-14.368275663149916,0.5470085470085471,0.59375
0.5,0.3333333333333333,0.8888888888888888,0.5,0.4,0.25,0.3333333333333333,0.5,72.4703362858022,-14.038676689240106,0.5319148936170213,0.6057692307692307
0.42857142857142855,0.25,0.8,0.4,1.0,0.6,0.5,0.4,41.42881437781955,-25.256322447922912,0.5319148936170213,0.6057692307692307
0.6666666666666666,1.0,0.5454545454545454,1.0,0.0,0.0,0.25,0.0,23.85125111304376,31.569255178085086,0.6190476190476191,0.5333333333333333
0.75,1.0,0.5833333333333334,1.0,0.0,0.0,0.2,0.0,15.61086443795773,23.643351413776827,0.6190476190476191,0.6666666666666666
0.6,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,7.533599760034917,13.278085113763382,0.6190476190476191,0.3333333333333333
0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,-12.623707877796164,-4.403285574900451,0.6666666666666666,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.2857142857142857,0.25,0.6666666666666666,0.75,0.5714285714285714,0.75,-30.302236218509847,-22.00378034820642,0.6666666666666666,0.6190476190476191
0.6,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.6,0.0,0.6,24.82060991037281,35.185524535557875,0.3333333333333333,0.6190476190476191
0.375,0.0,0.7272727272727273,0.0,0.6666666666666666,1.0,0.6,1.0,35.227835840264106,-50.069317140456974,0.5319148936170213,0.5106382978723404
0.4444444444444444,0.5,0.625,1.0,0.5714285714285714,0.5,0.6666666666666666,0.0,38.28941352930576,-57.71537852836957,0.40625,0.5348837209302325
0.5,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.6470588235294118,1.0,-29.926041068448626,-38.28941352930576,0.25,0.5470085470085471
0.4444444444444444,0.25,0.6111111111111112,0.75,0.5,0.5,0.6923076923076923,0.5,40.2790809434905,-60.37491472099964,0.5106382978723404,0.5319148936170213
0.4,0.2,0.6428571428571429,0.4,0.5454545454545454,0.6,0.631578947368421,0.8,50.797513362054815,-64.16056326802607,0.5348837209302325,0.40625
0.36363636363636365,0.16666666666666666,0.0,0.5,0.42857142857142855,0.8333333333333334,0.6666666666666666,0.5,-20.374090801692887,-67.27822971981811,0.25,0.5470085470085471
0.4166666666666667,1.0,0.65,1.0,0.0,0.0,0.0,0.0,75.67484998295208,30.777085916576198,0.5106382978723404,0.4
0.46153846153846156,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,72.56917971742644,30.777085916576198,0.5106382978723404,0.4
0.42857142857142855,0.6666666666666666,0.0,0.0,0.25,0.3333333333333333,0.6818181818181818,1.0,-45.558008524151774,-88.82398437286088,0.25,0.3787878787878788
0.4,0.5,0.0,0.0,0.4,0.5,0.6956521739130435,1.0,-45.558008524151774,-99.94846941267429,0.25,0.3787878787878788
0.375,0.4,0.5,0.4,0.5833333333333334,0.2,0.7083333333333334,1.0,7.297111039726701,-81.3531875733936,0.3333333333333333,0.40625
0.4117647058823529,0.5,0.6,0.5,0.5384615384615384,0.16666666666666666,0.68,0.8333333333333334,7.297111039726701,-67.01216256390114,0.3333333333333333,0.40625
0.4444444444444444,1.0,0.375,1.0,0.375,0.0,0.625,0.0,19.938821338233765,-53.26057648717074,0.59375,0.5470085470085471
0.3333333333333333,0.0,0.3333333333333333,0.5,0.47368421052631576,1.0,0.6470588235294118,0.5,-4.492076643044015,-92.96134024908804,0.6057692307692307,0.5348837209302325
1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.45,0.6666666666666666,0.6538461538461539,0.0,74.81003633179955,-35.005902799762566,0.6463414634146342,0.5106382978723404
0.42857142857142855,0.5,0.3,0.5,0.5714285714285714,0.75,0.6666666666666666,0.25,-32.925581104630396,-86.11806874151148,0.59375,0.5470085470085471
0.4090909090909091,0.4,0.631578947368421,0.6,1.0,0.6,0.6785714285714286,0.4,16.508479879172,-86.11806874151148,0.5348837209302325,0.6057692307692307
0.391304347826087,0.3333333333333333,0.6551724137931034,0.3333333333333333,0.625,0.6666666666666666,0.36363636363636365,0.6666666666666666,29.984919132764503,-16.344109381315093,0.5106382978723404,0.6463414634146342
0.5,0.0,0.6333333333333333,0.0,0.4166666666666667,1.0,0.65,1.0,73.23270135144014,-94.94137754263932,0.40625,0.5348837209302325
0.4666666666666667,0.0,0.3333333333333333,0.0,0.44,1.0,0.6666666666666666,1.0,-0.0913923652253743,-105.09640774224897,0.5454545454545454,0.5348837209302325
0.8,0.0,0.6129032258064516,0.0,0.46153846153846156,1.0,0.6818181818181818,1.0,75.32117963499184,-50.54541180150272,0.6057692307692307,0.5348837209302325
0.5,0.3333333333333333,0.625,0.3333333333333333,0.4444444444444444,0.75,0.6521739130434783,0.75,87.9420919826855,-84.4564436916412,0.40625,0.5348837209302325
0.5294117647058824,0.5,0.6363636363636364,0.5,0.42857142857142855,0.6,0.3076923076923077,0.0,105.70257201808329,21.904686076283724,0.40625,0.59375
0.5555555555555556,0.6,0.6470588235294118,0.6,0.41379310344827586,0.5,0.625,0.6,97.31496210148896,-73.6810304994334,0.40625,0.5348837209302325
0.5555555555555556,0.5,0.6285714285714286,0.5,0.6363636363636364,1.0,0.1,0.6666666666666666,30.858938381959888,34.783174602260374,0.5470085470085471,0.32075471698113206
0.5,0.42857142857142855,0.2857142857142857,0.0,0.6666666666666666,1.0,0.18181818181818182,0.7142857142857143,-49.380279461349005,34.783174602260374,0.6463414634146342,0.32075471698113206
0.5789473684210527,0.75,0.64,0.5,0.6153846153846154,0.6666666666666666,0.6111111111111112,0.42857142857142855,53.92969454530794,-43.06096788596017,0.5319148936170213,0.6
0.6428571428571429,0.75,0.6538461538461539,0.5555555555555556,0.55,0.6666666666666666,0.5945945945945946,0.375,81.98711959041327,-15.003542840854834,0.7047619047619048,0.40625
0.43333333333333335,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,-0.5808320513428953,-31.3773380164115,0.3157894736842105,0.1111111111111111
0.41935483870967744,0.5,0.25,0.5,1.0,0.5,0.6666666666666666,1.0,-18.64502162700103,-135.59565795540937,0.3157894736842105,0.6190476190476191
0.40625,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.6785714285714286,1.0,4.063051773021925,-129.0429429570096,0.0,0.6190476190476191
0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.5,0.6551724137931034,0.6666666666666666,-5.076025292183317,-57.03464379222919,0.23076923076923078,0.6190476190476191
